PK244+12.1/Abell29;PK244+12.1;Abell29;14.3;Nebulosa Planetaria 4;6.6m;8h 40.2m;-20º54';Pyxis
PK253+10.1/K1-2;PK253+10.1;K1-2;15.3;Nebulosa Planetaria 2;63s × 54s;8h 57.8m;-28º57';Pyxis
NGC2883/ESO372-24;NGC2883;ESO372-24;16.0;Galaxia Ir;2.7m × 0.9m;9h 25.3m;-34º6';Pyxis
"PK252+4.1/Abell27;K1-1";PK252+4.1;Abell27;17.9;Nebulosa Planetaria 3b;59.0s;8h 31.8m;-32º5';Pyxis
Ru72;Ru72;;99.9;Cúmulo Abierto IV 1p :b;1.4m;8h 52.1m;-37º36';Pyxis
Ru158;Ru158;;99.9;Cúmulo Abierto III 2p :b;2.5m;8h 52.4m;-37º34';Pyxis
NGC1679/ESO422-1;NGC1679;ESO422-1;11.5;Galaxia SBp;2.7m × 2m;4h 49.9m;-31º58';Caelum
NGC1571/NGC1570;NGC1571;NGC1570;12.3;Galaxia Elliptical;2m × 1.5m;4h 22.1m;-43º38';Caelum
NGC1572/ESO303-14;NGC1572;ESO303-14;12.4;Galaxia SBa;2.4m × 1.2m;4h 22.7m;-40º36';Caelum
NGC1567/ESO202-10;NGC1567;ESO202-10;12.5;Galaxia E;1.4m × 1.3m;4h 21.1m;-48º15';Caelum
NGC1616/ESO251-10;NGC1616;ESO251-10;12.6;Galaxia Sbc;1.8m × 0.9m;4h 32.7m;-43º43';Caelum
NGC1668/ESO251-30;NGC1668;ESO251-30;12.7;Galaxia E-SO Bar;1.6m × 0.9m;4h 46.1m;-44º44';Caelum
NGC1701/ESO422-11;NGC1701;ESO422-11;12.8;Galaxia Sb;1.2m × 0.9m;4h 55.9m;-29º53';Caelum
NGC1759/ESO305-1;NGC1759;ESO305-1;13.1;Galaxia Elliptical;1.4m × 1.2m;5h 0.8m;-38º40';Caelum
NGC1570/NGC1571;NGC1570;NGC1571;13.2;Galaxia E;2m × 1.5m;4h 22.1m;-43º38';Caelum
NGC1658/ESO304-16;NGC1658;ESO304-16;13.5;Galaxia Sbc;1.5m × 0.5m;4h 44.0m;-41º28';Caelum
NGC1585/ESO303-18;NGC1585;ESO303-18;13.5;Galaxia Sc;1.2m × 0.7m;4h 27.6m;-42º10';Caelum
NGC1595/ESO202-25;NGC1595;ESO202-25;13.7;Galaxia E;1.3m × 0.9m;4h 28.4m;-47º49';Caelum
NGC1598/ESO202-26;NGC1598;ESO202-26;13.8;Galaxia SBc;1.4m × 0.8m;4h 28.6m;-47º47';Caelum
NGC1660/ESO304-18;NGC1660;ESO304-18;13.9;Galaxia Sa;1m × 0.5m;4h 44.2m;-41º30';Caelum
NGC1687/ESO361-13;NGC1687;ESO361-13;13.9;Galaxia SBab;1.3m × 0.5m;4h 51.4m;-33º56';Caelum
Mel111/Cr256;Mel111;Cr256;1.8;Cúmulo Abierto II 3 p;275m;12h 25.1m;26º7';Coma Berenices
NGC5024/M53;NGC5024;M53;7.7;Cúmulo Globular V;14.4m;13h 12.9m;18º10';Coma Berenices
NGC4826/M64;NGC4826;M64;8.5;Galaxia Sab;10.3m × 5m;12h 56.7m;21º41';Coma Berenices
NGC4382/M85;NGC4382;M85;9.1;Galaxia Sa;7.4m × 5.9m;12h 25.4m;18º11';Coma Berenices
NGC4725/UGC7989;NGC4725;UGC7989;9.4;Galaxia SBab Ring;10.4m × 7.2m;12h 50.4m;25º30';Coma Berenices
NGC4321/M100;NGC4321;M100;9.4;Galaxia SBbc;7.5m × 6.1m;12h 22.9m;15º49';Coma Berenices
NGC4501/M88;NGC4501;M88;9.6;Galaxia Sbc;6.8m × 3.7m;12h 32.0m;14º25';Coma Berenices
NGC4565/UGC7772;NGC4565;UGC7772;9.6;Galaxia Sb;14.9m × 2m;12h 36.3m;25º59';Coma Berenices
NGC4494/UGC7662;NGC4494;UGC7662;9.8;Galaxia Elliptical;4.5m × 4.3m;12h 31.4m;25º46';Coma Berenices
NGC5053/GCL23;NGC5053;GCL23;9.8;Cúmulo Globular XI;8.9m;13h 16.5m;17º42';Coma Berenices
NGC4254/M99;NGC4254;M99;9.9;Galaxia Sc;5.3m × 4.6m;12h 18.8m;14º25';Coma Berenices
NGC4559/UGC7766;NGC4559;UGC7766;10.0;Galaxia SBc;11m × 4.9m;12h 36.0m;27º58';Coma Berenices
NGC4192/M98;NGC4192;M98;10.1;Galaxia SBb;9.4m × 2.3m;12h 13.8m;14º54';Coma Berenices
NGC4548/M91;NGC4548;M91;10.1;Galaxia SBb;5.2m × 4.2m;12h 35.4m;14º30';Coma Berenices
NGC4450/UGC7594;NGC4450;UGC7594;10.1;Galaxia Sab;5.4m × 4.1m;12h 28.5m;17º5';Coma Berenices
NGC4414/UGC7539;NGC4414;UGC7539;10.1;Galaxia Sc;3.6m × 2m;12h 26.5m;31º13';Coma Berenices
NGC4278/UGC7386;NGC4278;UGC7386;10.2;Galaxia Elliptical;4m × 3.9m;12h 20.1m;29º17';Coma Berenices
NGC4473/UGC7631;NGC4473;UGC7631;10.2;Galaxia Elliptical;4.2m × 2.6m;12h 29.8m;13º26';Coma Berenices
NGC4153/NGC4147;NGC4153;NGC4147;10.3;Cúmulo Globular VI;4.1m;12h 10.1m;18º33';Coma Berenices
NGC4147/NGC4153;NGC4147;NGC4153;10.3;Cúmulo Globular VI;4m;12h 10.1m;18º33';Coma Berenices
NGC3195/PK296-20.1;NGC3195;PK296-20.1;11.5;Nebulosa Planetaria 3;40s × 30s;10h 9.4m;-80º52';Chamaeleon
NGC2915/ESO37-3;NGC2915;ESO37-3;12.7;Galaxia SBa;1.9m × 0.9m;9h 26.2m;-76º38';Chamaeleon
NGC3149/ESO19-1;NGC3149;ESO19-1;13.1;Galaxia Sb;2m × 1.9m;10h 3.7m;-80º25';Chamaeleon
NGC3620/ESO38-10;NGC3620;ESO38-10;15.3;Galaxia SBab;2.7m × 1.1m;11h 16.1m;-76º13';Chamaeleon
